A000001,A000002,A000005,A000009,A000010,A000019,A000035,A000040,A000041,A000069,A000120,A000123,A000124,A000161,A000203,A000217,A000290,A000292,A000326,A000330,A000578,A000583,A000593,A000594,A000688,A000720,A000793,A000796,A000959,A000961,A001034,A001055,A001057,A001065,A001097,A001113,A001157,A001221,A001222,A001227,A001285,A001358,A001462,A001481,A001511,A001615,A001969,A002033,A002113,A002322,A002378,A002487,A002620,A002654,A002808,A003136,A003484,A004011,A004018,A004526,A005100,A005101,A005117,A005408,A005811,A005843,A006530,A007318,A008275,A008277,A008279,A008292,A008683,A010060,A018252,A020639,A020652,A020653,A025487,A027642,A038566,A038567,A038568,A038569,A049310,A070939,A074206,A104725,A226898,A246655
0,1,1,1,1,1,0,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,3,1,1,60,1,0,0,3,2,1,0,0,1,1,4,1,0,1,1,0,1,0,1,0,0,0,1,4,0,1,1,1,0,1,12,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2
1,2,2,1,1,1,1,3,1,2,1,2,2,1,3,1,1,1,1,1,1,1,1,-24,1,1,1,1,3,2,168,1,1,1,5,7,5,1,1,1,2,6,2,1,2,3,3,1,1,1,2,1,0,1,6,1,2,24,4,0,2,18,2,3,1,2,2,1,-1,1,1,1,-1,1,4,2,1,2,2,2,1,2,1,2,0,1,1,1,2,3
1,2,2,1,2,2,0,5,2,4,1,4,4,1,4,3,4,4,5,5,8,16,4,252,1,2,2,4,7,3,360,1,-1,1,7,1,10,1,1,2,2,9,2,2,1,4,5,1,2,2,6,1,1,0,8,3,1,24,4,1,3,20,3,5,2,4,3,1,1,1,1,1,-1,1,6,3,2,1,4,6,1,3,2,1,1,2,1,1,1,4
1,1,3,2,2,2,1,7,3,7,2,6,7,0,7,6,9,10,12,14,27,81,1,-1472,2,2,3,1,9,4,504,2,2,3,11,8,21,1,2,1,1,10,3,4,3,6,6,2,3,2,12,2,2,1,9,4,4,96,0,1,4,24,5,7,1,6,2,1,2,1,1,1,0,0,8,2,1,3,6,1,2,3,1,3,-1,2,1,1,2,5
2,1,2,2,4,5,0,11,5,8,1,10,11,1,6,10,16,20,22,30,64,256,6,4830,1,3,4,5,13,5,660,1,-2,1,13,2,26,1,1,2,2,14,3,5,1,6,9,1,4,4,20,1,4,2,10,7,1,24,4,2,5,30,6,9,2,8,5,2,-3,3,2,4,-1,1,9,5,3,1,8,30,1,4,3,1,0,3,2,2,1,7
1,2,4,3,2,4,1,13,7,11,2,14,16,1,12,15,25,35,35,55,125,625,4,-6048,1,3,6,9,15,7,1092,2,3,6,17,8,50,2,2,2,1,15,4,8,2,12,10,3,5,2,30,3,6,0,12,9,2,144,8,2,7,36,7,11,3,10,3,1,1,1,2,1,1,0,10,2,1,4,12,1,3,4,2,3,1,3,1,1,2,8
2,1,2,4,6,7,0,17,11,13,2,20,22,0,8,21,36,56,51,91,216,1296,8,-16744,1,4,6,2,21,8,2448,1,-3,1,19,1,50,1,1,2,1,21,4,9,1,8,12,1,6,6,42,2,9,0,14,12,1,96,0,3,8,40,10,13,2,12,7,1,-6,1,1,1,-1,0,12,7,2,3,16,42,1,5,3,2,0,3,3,3,1,9
1,2,4,5,4,7,1,19,15,14,3,26,29,0,15,28,49,84,70,140,343,2401,1,84480,3,4,12,6,25,9,2520,3,4,7,29,8,85,1,3,1,2,22,4,10,4,12,15,4,7,2,56,3,12,1,15,13,8,192,0,3,9,42,11,15,1,14,2,3,11,7,3,11,0,1,14,2,3,2,24,1,2,5,1,4,-2,3,1,1,2,11
5,2,3,6,6,11,0,23,22,16,1,36,37,1,13,36,64,120,92,204,512,4096,13,-113643,2,4,15,5,31,11,3420,2,-4,4,31,2,91,1,2,3,2,25,5,13,1,12,17,2,8,6,72,1,16,1,16,16,1,24,4,4,10,48,13,17,2,16,3,3,-6,6,6,11,0,1,15,3,4,1,30,30,3,5,4,1,0,4,4,5,1,13
2,1,4,8,4,9,1,29,30,19,2,46,46,1,18,45,81,165,117,285,729,6561,6,-115920,1,4,20,3,33,13,4080,2,5,8,41,8,130,2,2,2,1,26,5,16,2,18,18,3,9,4,90,4,20,2,18,19,2,312,4,4,11,54,14,19,3,18,5,1,1,1,6,1,1,0,16,2,1,5,32,1,4,5,3,4,1,4,2,2,2,16
