:
model: 4.83441368831934*n            ; error: 1.9980679684786148e+18
model: 3.13732477586918*an_1**2*n**2 + 0.464564979724778*an_29*n + 2.70854087140225*an_34 - 4.13474311597795 - 0.15068925011542*exp(-4.70888436327282*an_2); error: 100000000      
model: 1.76425078906154*an_1/an_3 - 2.97101364722636; error: 1000000000.0   
model: -1.91657367626462*an_1**2*an_3*n**2 - 0.986386700369765*n**2 + 1.69966138569242*log(1.50043925709474*an_7)/log(-4.66807338293236*n**2); error: 1000000000.0   
model: 0.559091425974125*an_2*an_4*n*exp(3.44764799165288*an_1*an_2); error: 1000000000.0   
model: -3.92510466424901*an_35 + 0.809185276333954*n - 0.271718449427132*exp(1.52270785987701*an_1) + 0.442323527461858 - 2.58140945902571*exp(-4.68869936581594*an_1**2*n**2); error: 100000000      
model: 4.86665834405577*an_7         ; error: 1.3691512240105754e+18
model: 4.57308134096006*an_42 - 3.11078569153396*exp(-1.80900333255197*n); error: 1.9980681320664878e+18
model: 2.01356953676216*an_1 + 1.29037059243757*exp(2.1105599630365*an_1**5*an_2*n**3) + 0.18491218020241*exp(-1.73260159623782*an_1); error: 1000000000.0   
model: 2.59552329740536*exp(2.49042566238165*an_2*n) + 4.92896790377482; error: 1000000000.0   
model: -0.186747925933216*an_1*n     ; error: 1.9980681654039537e+18
model: -4.18259107372521*an_1 - 1.77064789047987*n + 3.07943656733931*exp(3.38617246895712*n**2); error: 1000000000.0   
model: 0.0320655199764541*an_1**2*an_39/n; error: 1.9980681654039537e+18
model: -0.670694144866192*exp(0.831126288435887*an_1*an_2*n) - 1.51172427776904*log(-1.23967982095204*an_1*n**3) - 1.44178423842202*log(-2.68967124826988*n)/n; error: 100000000      
model: 0.508104526929242*n/an_1      ; error: 1000000000.0   
model: -0.113638535153104*an_1*an_13 + 1.85762852148285*an_1 - 4.14557157679419*exp(0.115615997468628*n) - 4.62788285699913; error: 1.1134852078341696e+17
model: 4.8603813787063*n - 2.12351960658462; error: 1.9980679701410642e+18
model: -0.438814058408905*an_1*n + 0.165054353718619*an_2*n + 4.95485076725664*exp(-0.359771696288061*n); error: 1.9980681612478292e+18
model: -0.0025227224120572*an_1**2   ; error: 1.9980681654039537e+18
model: -2.86668719314119*an_5 - 2.2299805051698*exp(1.89065408782851*an_1); error: 1000000000.0   
model: 3.02519944604903*an_2 - 4.66388242678153; error: 4.253135041043435e+16
model: -2.66674873188534*n*exp(2.11490510398389*an_2) + 1.61941059597691 + 2.86355254478074*exp(-2.19994421332919*n**2); error: 1000000000.0   
model: -2.35767595374231*exp(4.92893028763488*an_1*n**2) - 3.14230200714208 - 1.78442350390623*exp(-0.537977592058209*n); error: 1000000000.0   
model: 3.65614259438557*exp(2.71929270297877*an_1*n); error: 1000000000.0   
model: 1.66439278639291 - 4.3418398151375*exp(-2.2733693953829*n)*exp(3.47358732517636*an_1*n); error: 1000000000.0   
model: 2.88944895790029*n + 2.39110905766479*exp(0.277993576896584*an_1) + 2.27295475951771*exp(4.43822912511179*n) + 4.48426091230576*log(-2.45568545585708*an_1) + 4.08383879722339; error: 100000000      
model: 4.17727784864707*an_1 - 4.20460427861319*an_2; error: 6205240486096293.0
model: -0.15261684387106*an_1*n - 0.273539718309451*an_2*n; error: 1.9980681654039537e+18
model: 1.43557279407361*exp(1.37626077469177*an_1) + 1.03650691786912*exp(1.54777311777958*an_1**3*n**2) - 4.62132218757035; error: 1000000000.0   
model: -0.292877923151421*an_1**2*n**4; error: 1.9980681654039537e+18
model: -0.926267736726727*sqrt(-n) + 0.160378996899249*exp(3.79420562619116*n); error: 1000000000.0   
model: 4.66404337055226*an_4         ; error: 1.462097745087031e+17
model: -5.99737606341759*an_2*sqrt(-n**2)/n; error: 1000000000.0   
model: -1.18118415984596*exp(1.61938659408585*an_1); error: 1000000000.0   
model: -4.72299105983003*exp(2.14846480765305*an_1**2*an_2); error: 1000000000.0   
model: 4.18902067208985*an_42*n - 2.30346590349146*n - 0.0335492643297719*exp(3.29379860623426*an_1) - 1.66347695056293*exp(3.60530646521499*n**2) + 0.438484300170655*exp(-2.60157941557732*n); error: 100000000      
model: -0.492311129715837*an_2*n + 4.98028038742665*exp(-0.118332687523442*n); error: 1.9980681612478292e+18
model: 2.09343518757779*an_1 - 4.63197376833637; error: 1.113485215683193e+17
model: 0.388277049399294*an_1**2*an_2; error: 1.9980681654039537e+18
model: 1.38253938230012*sqrt(-n)     ; error: 1000000000.0   
model: -4.77957301416867*an_1*an_2*n**3*exp(1.87515263228733*an_1); error: 1000000000.0   
model: 2.22806254890585*an_1 - 4.84866676982502*n; error: 1.1134847606169646e+17
model: 4.59963840016598*exp(0.241328322721158*n); error: 1.9980681612478292e+18
model: -2.00479494522833*sqrt(an_1) + 4.91359050732742*exp(1.74458496039824*n**2) + 2.20248633142766; error: 1000000000.0   
model: -2.95915376275763*an_1*an_4 - 4.97276665888407*an_1*n - 3.37147754899121*exp(1.87731723108393*an_1*n) - 1.50590488859206; error: 1000000000.0   


