
Final score (sorted):
model: an_1 + an_2                   ; error: 0              
model: an_1*an_2 + an_1              ; error: 0              
model: an_1*an_28*n + an_1           ; error: 0              
model: an_1*an_32*n**2 + an_1        ; error: 0              
model: an_1 + an_2                   ; error: 0              
model: 2*an_1                        ; error: 0              
model: an_1 + an_2                   ; error: 0              
model: an_1*n + an_1                 ; error: 0              
model: 2*an_1 - an_3                 ; error: 0              
model: 2*an_1 - an_3                 ; error: 0              
model: 2*an_2 + an_3                 ; error: 0              
model: 2*an_1 - an_3                 ; error: 0              
model: an_1 + an_2                   ; error: 0              
model: 2*an_1*n + an_2 - an_3 + n    ; error: 0              
model: an_1 + an_2                   ; error: 0              
model: an_1 + an_2                   ; error: 0              
model: 20211216*an_1**2*n + an_2 + 20211216*n**2 + 20211216*n; error: 20211216       
model: an_3 + 20211216*n             ; error: 20211216       
model: an_2 + 20211216*n**2 + 20211216*n; error: 20211216       
model: an_1**2*n + 20211216*n        ; error: 20211216       
model: 20211216*an_1 + 20211217*n**2 ; error: 20211216       
model: an_1*an_2*n**3                ; error: 20211216       
model: 20211216*an_1*an_2*n**2 + an_1; error: 20211216       
model: an_4                          ; error: 20211216       
model: 20211217*an_1 + 20211216*an_29 + 20211216*n; error: 20211216       
model: 20211216*an_1*an_2*an_3 + an_1 + 20211216*an_2*n**2 + 20211216*n**3 + 20211216*n; error: 20211216       
model: 20211216*an_1**2*an_8 + an_1*n + 20211216*n; error: 20211216       
model: 20211216*an_1**2*an_3 + an_1*an_28 + 20211216*n; error: 20211216       
model: an_1**2 + 20211216*an_1*an_6*n; error: 20211216       
model: 20211216*an_1*n + 20211217*an_1 + 20211216*n; error: 20211216       
model: an_1**2*an_2*n + 20211216*n   ; error: 20211216       
model: an_37                         ; error: 20211216       
model: 20211216*an_1**2*n + an_3*n   ; error: 20211216       
model: an_1*n**2 + 20211216*an_3     ; error: 20211216       
model: 20211216*an_1**2*n + 20211217*n; error: 20211216       
model: 20211216*an_1 + an_10         ; error: 20211216       
model: an_1*an_2*n**2 + 20211216*an_16; error: 20211216       
model: an_6*n**3                     ; error: 20211216       
model: an_1**3*an_17*n**3 + 20211216*an_1**2*n; error: 20211216       
model: an_3*n + 20211216*n**2        ; error: 20211216       
model: an_2*an_4                     ; error: 20211216       
model: 20211216*an_1**2 + an_1       ; error: 20211216       
model: 20211216*an_1*an_23 + an_1    ; error: 20211216       
model: an_1*n**3                     ; error: 20211216       
model: an_1 + 20211216*an_23         ; error: 20211216       
model: an_1**2*n**2                  ; error: 20211216       
model: an_2*n + 20211216*an_3        ; error: 20211216       
model: an_1**2*n**4                  ; error: 20211216       
model: an_30*n + 20211216*n          ; error: 20211216       
model: an_1*an_2*n**2 + 20211216*an_1 + 20211216*n; error: 20211216       
model: 20211216*an_1*n + an_1 + 20211216*an_33 + 20211216*n; error: 20211216       
model: an_1**2*n + 20211216*an_1*an_2; error: 20211216       
model: 20211216*an_1**2*n + 20211216*an_1*n + 20211216*an_36 + n; error: 20211216       
model: an_1*an_2*n + 20211216*an_1*an_2 + 20211216*an_1; error: 20211216       
model: 20211216*an_1**2*n**2 + an_5  ; error: 20211216       
model: 20211216*an_1*n**2 + an_2*n**2; error: 20211216       
model: an_1*an_2*n + 20211216*an_2*n**2; error: 20211216       
model: 20211216*an_1*n + an_2 + 20211216*n; error: 20211216       
model: an_1**4*n                     ; error: 20211216       
model: 20211217*an_1**2              ; error: 20211216       
model: 20211216*an_1**2*n + an_1 + 20211216*n; error: 20211216       
model: 20211216*an_1**2*an_2*n + 20211216*an_1*n + an_2 + 20211216*n; error: 20211216       
model: 20211216*n**4 + n             ; error: 20211216       
model: an_2*n + 20211216*n           ; error: 20211216       
model: an_1**2*an_3*an_4*n**3 + 20211216*an_1*an_2 + 20211216*an_1; error: 20211216       
model: 20211216*n**2 + 20211217*n    ; error: 20211216       
model: 20211216*an_1 + an_3 + 20211216*n; error: 20211216       
model: 20211216*an_1 + an_31 + 20211216*n**2; error: 20211216       
model: 20211216*an_1*n + 20211216*an_2 + 20211216*n**3 + n**2; error: 20211216       
model: an_39                         ; error: 20211216       
model: 20211216*an_1*n**3 + 20211216*an_1*n + an_2*n; error: 20211216       
model: an_1*an_25*n**2               ; error: 20211216       
model: an_2 + 20211216*an_37         ; error: 20211216       
model: 20211216*an_1*an_2*n + an_2*n ; error: 20211216       
model: an_1**2*an_2*n**5             ; error: 20211216       
model: 20211216*an_1 + 20211217*n    ; error: 20211216       
model: an_1 + 20211216*an_18*n       ; error: 20211216       
model: an_1*n**3 + 20211216*an_1     ; error: 20211216       
model: 20211216*an_1*an_2 + an_1*n**2 + 20211216*an_1; error: 20211216       
model: 20211216*an_1*n + an_28       ; error: 20211216       
model: an_1*n**2 + 20211216*an_2 + 20211216*n; error: 20211216       
model: an_1*n + 20211216*an_3        ; error: 20211216       
model: an_1**3*an_15*an_2*n**3 + 20211216*an_1 + 20211216*n; error: 20211216       
model: an_1**4 + 20211216*an_2       ; error: 20211216       
model: 20211216*an_2 + n**4          ; error: 20211216       
model: 20211216*an_11*an_2*n + an_2*n**4 + 20211216*n**2 + 20211216*n; error: 20211216       
model: an_2 + 20211216*an_26*n**2 + 20211216*n; error: 20211216       
model: an_1**2*n + 20211216*an_1*n   ; error: 20211216       
model: an_1**2*an_2*an_22            ; error: 20211216       
model: an_36                         ; error: 20211216       
model: an_1**3*an_4*n                ; error: 20211216       
model: 20211216*an_1**3 + 20211217*n ; error: 20211216       
model: an_1*n**2 + 20211216*an_2     ; error: 20211216       
model: 20211216*an_1*an_3*n**2 + n   ; error: 20211216       
model: an_2*an_3*n                   ; error: 20211216       
model: 20211216*an_1**2 + 20211216*an_1*n + an_1 + 20211216*n; error: 20211216       
model: 20211216*an_2*n + n**2        ; error: 20211216       
model: 20211216*an_1*an_2*n + 20211216*an_32*n + n; error: 20211216       
model: 20211217*an_1 + 20211216*n    ; error: 20211216       
model: 20211216*an_1**2 + 20211216*an_1 + an_4*n**2; error: 20211216       
model: n**3 + 20211216*n             ; error: 20211216       
model: 20211216*an_1**2*n + 20211216*an_1*n + 20211216*an_1 + an_3 + 20211216*n**2; error: 20211216       
model: 20211216*an_1*an_4*n**2 + an_2; error: 20211216       
model: 20211216*an_1**2*n**2 + an_1*n**3 + 20211216*an_1 + 20211216*n; error: 20211216       
model: 20211216*an_1*an_2 + an_2*n**3; error: 20211216       
model: an_1*an_2*n**3 + 20211216*an_1*n + 20211216*an_1 + 20211216*an_2*n**2; error: 20211216       
model: 20211216*an_1**2 + an_1*an_2*n**2; error: 20211216       
model: an_1*n + 20211216*an_2        ; error: 20211216       
model: an_1**2*n**3                  ; error: 20211216       
model: 20211216*an_3 + n**3          ; error: 20211216       
model: an_1*n + 20211216*n**2        ; error: 20211216       
model: an_1**2*an_2*an_3*n**3        ; error: 20211216       
model: 20211216*an_1*an_26*an_3*n**2 + 20211216*an_1*n**2 + 20211216*an_2 + n; error: 20211216       
model: 20211216*n**3 + 20211217*n    ; error: 20211216       
model: an_1*an_3                     ; error: 20211216       
model: an_1*an_2**2*an_38*n**2       ; error: 20211216       
model: 20211216*an_1**2*n**3 + 20211216*an_1 + an_3; error: 20211216       
model: an_1*an_2*n + 20211216*an_1   ; error: 20211216       
model: 20211216*an_3 + n**2          ; error: 20211216       
model: an_1*an_2 + 20211216*n**3     ; error: 20211216       
model: an_1*an_2*n**5                ; error: 20211216       
model: an_1*n**2 + 20211216*an_2*n + 20211216*n; error: 20211216       
model: 20211216*an_1*an_3 + an_1     ; error: 20211216       
model: 20211216*an_1*an_11*an_5 + 20211216*an_1*n + 20211216*an_22 + n**2 + 20211216*n; error: 20211216       
model: an_1*an_2*an_4*n              ; error: 20211216       
model: 20211216*an_1*an_3*n + n      ; error: 20211216       
model: 20211216*an_1*an_6*n + 20211217*n; error: 20211216       
model: 20211216*an_1 + an_23*n**3 + 20211216*n; error: 20211216       
model: n**5                          ; error: 20211216       
model: 20211216*an_1*an_2 + an_2     ; error: 20211216       
model: 20211216*an_1*n + 20211216*an_1 + an_3*n**2 + 20211216*n; error: 20211216       
model: an_1**2*n**2 + 20211216*an_1 + 20211216*n; error: 20211216       
model: an_1*an_6 + 20211216*an_1     ; error: 20211216       
model: an_1**2*an_2**2*an_32*n**3    ; error: 20211216       
model: 20211216*an_2 + n             ; error: 20211216       
model: 20211216*an_1 + an_4**2*n     ; error: 20211216       
model: an_1*n**4                     ; error: 20211216       
model: an_1 + 20211216*an_2*an_3*n + 20211216*an_2*n; error: 20211216       
model: an_1**2 + 20211216*n          ; error: 20211216       
model: an_1**2*n + 20211216*an_1     ; error: 20211216       
model: an_19                         ; error: 20211216       
model: 20211216*an_1*an_2 + 20211216*an_1 + n**2 + 20211216*n; error: 20211216       
model: 20211216*an_1*an_2*an_3*n + 20211216*an_1 + an_2**2*an_34; error: 20211216       
model: 20211216*an_1*an_2*n + 20211216*an_1*an_2 + 20211216*an_2*n**5 + n**2 + 20211216*n; error: 20211216       
model: 20211216*an_1 + an_5          ; error: 20211216       
model: 20211216*an_1*an_2 + 20211216*an_2*n + an_6 + 20211216*n; error: 20211216       
model: an_1*an_2*an_31 + 20211216*an_29*n; error: 20211216       
model: 20211217*an_1 + 20211216*an_3*n; error: 20211216       
model: 20211216*an_1 + an_2*an_3*n**3 + 20211216*n**2 + 20211216*n; error: 20211216       
model: 20211216*an_1*an_2 + an_1*n**3 + 20211216*an_1 + 20211216*n; error: 20211216       
model: an_31                         ; error: 20211216       
model: 20211216*an_1 + 20211216*n**3 + 20211217*n; error: 20211216       
model: an_1**3*an_2*an_26*n**3       ; error: 20211216       
model: an_26*n                       ; error: 20211216       
model: 20211216*an_1*n + 20211216*an_2*n + n; error: 20211216       
model: an_1*an_21                    ; error: 20211216       
model: 20211216*an_1**2*an_2*n + n**2 + 20211216*n; error: 20211216       
model: an_2*n**3                     ; error: 20211216       
model: 20211216*an_2*n**3 + 20211216*n**3 + 20211217*n; error: 20211216       
model: 20211216*an_1**2 + an_1*an_2**2*n**2 + 20211216*an_1*n + 20211216*an_2 + 20211216*n**3; error: 20211216       
